,PtsServer,PtsRet,Gm1,Gm2,Set1,Set2,Svr,Ret,PointType
3,40,0,0.0,0.0,0,0,1,2,GamePoint
9,40,30,1.0,0.0,0,0,2,1,GamePoint
13,40,0,1.0,1.0,0,0,1,2,GamePoint
19,40,30,2.0,1.0,0,0,2,1,GamePoint
23,40,0,2.0,2.0,0,0,1,2,GamePoint
27,0,40,3.0,2.0,0,0,2,1,BreakPoint
28,15,40,3.0,2.0,0,0,2,1,BreakPoint
29,30,40,3.0,2.0,0,0,2,1,BreakPoint
31,40,50,3.0,2.0,0,0,2,1,BreakPoint
35,0,40,4.0,2.0,0,0,1,2,BreakPoint
41,40,30,4.0,3.0,0,0,2,1,GamePoint
45,40,0,4.0,4.0,0,0,1,2,GamePoint
49,0,40,5.0,4.0,0,0,2,1,SetPoint
50,15,40,5.0,4.0,0,0,2,1,SetPoint
55,40,15,0.0,0.0,1,0,1,2,GamePoint
59,40,0,1.0,0.0,1,0,2,1,GamePoint
64,40,15,1.0,1.0,1,0,1,2,GamePoint
68,40,0,2.0,1.0,1,0,2,1,GamePoint
73,40,15,2.0,2.0,1,0,1,2,GamePoint
74,40,30,2.0,2.0,1,0,1,2,GamePoint
78,0,40,3.0,2.0,1,0,2,1,BreakPoint
79,15,40,3.0,2.0,1,0,2,1,BreakPoint
80,30,40,3.0,2.0,1,0,2,1,BreakPoint
82,50,40,3.0,2.0,1,0,2,1,GamePoint
87,40,15,3.0,3.0,1,0,1,2,GamePoint
92,40,15,4.0,3.0,1,0,2,1,GamePoint
93,40,30,4.0,3.0,1,0,2,1,GamePoint
99,40,30,4.0,4.0,1,0,1,2,GamePoint
103,40,0,5.0,4.0,1,0,2,1,MatchPoint
108,40,15,5.0,5.0,1,0,1,2,GamePoint
114,40,30,6.0,5.0,1,0,2,1,MatchPoint
124,6,3,6.0,6.0,1,0,2,1,MatchPoint
125,6,4,6.0,6.0,1,0,2,1,MatchPoint
126,5,6,6.0,6.0,1,0,1,2,MatchPoint
128,7,6,6.0,6.0,1,0,2,1,MatchPoint
130,8,7,6.0,6.0,1,0,1,2,MatchPoint
132,8,9,6.0,6.0,1,0,2,1,MatchPoint
134,9,10,6.0,6.0,1,0,1,2,MatchPoint
136,11,10,6.0,6.0,1,0,2,1,MatchPoint
138,12,11,6.0,6.0,1,0,1,2,MatchPoint
144,30,40,0.0,0.0,1,1,2,1,BreakPoint
148,40,0,1.0,0.0,1,1,1,2,GamePoint
153,40,15,2.0,0.0,1,1,2,1,GamePoint
157,40,0,2.0,1.0,1,1,1,2,GamePoint
158,40,15,2.0,1.0,1,1,1,2,GamePoint
159,40,30,2.0,1.0,1,1,1,2,GamePoint
161,50,40,2.0,1.0,1,1,1,2,GamePoint
163,50,40,2.0,1.0,1,1,1,2,GamePoint
165,50,40,2.0,1.0,1,1,1,2,GamePoint
169,40,0,3.0,1.0,1,1,2,1,GamePoint
175,40,30,3.0,2.0,1,1,1,2,GamePoint
181,40,30,4.0,2.0,1,1,2,1,GamePoint
183,50,40,4.0,2.0,1,1,2,1,GamePoint
188,40,15,4.0,3.0,1,1,1,2,GamePoint
194,40,30,5.0,3.0,1,1,2,1,MatchPoint
200,40,30,5.0,4.0,1,1,1,2,MatchPoint
206,40,30,0.0,0.0,0,0,1,2,GamePoint
210,0,40,1.0,0.0,0,0,2,1,BreakPoint
211,15,40,1.0,0.0,0,0,2,1,BreakPoint
215,40,0,2.0,0.0,0,0,1,2,GamePoint
216,40,15,2.0,0.0,0,0,1,2,GamePoint
217,40,30,2.0,0.0,0,0,1,2,GamePoint
219,50,40,2.0,0.0,0,0,1,2,GamePoint
223,40,0,3.0,0.0,0,0,2,1,GamePoint
229,30,40,3.0,1.0,0,0,1,2,BreakPoint
231,40,50,3.0,1.0,0,0,1,2,BreakPoint
233,40,50,3.0,1.0,0,0,1,2,BreakPoint
239,30,40,3.0,2.0,0,0,2,1,BreakPoint
241,40,50,3.0,2.0,0,0,2,1,BreakPoint
243,50,40,3.0,2.0,0,0,2,1,GamePoint
247,40,0,3.0,3.0,0,0,1,2,GamePoint
248,40,15,3.0,3.0,0,0,1,2,GamePoint
254,30,40,4.0,3.0,0,0,2,1,BreakPoint
256,50,40,4.0,3.0,0,0,2,1,GamePoint
261,40,15,4.0,4.0,0,0,1,2,GamePoint
267,40,30,5.0,4.0,0,0,2,1,SetPoint
269,50,40,5.0,4.0,0,0,2,1,SetPoint
274,40,15,5.0,5.0,0,0,1,2,GamePoint
279,15,40,6.0,5.0,0,0,2,1,SetPoint
283,40,0,0.0,0.0,1,0,1,2,GamePoint
288,15,40,1.0,0.0,1,0,2,1,BreakPoint
289,30,40,1.0,0.0,1,0,2,1,BreakPoint
293,40,0,2.0,0.0,1,0,1,2,GamePoint
298,15,40,3.0,0.0,1,0,2,1,BreakPoint
303,15,40,4.0,0.0,1,0,1,2,BreakPoint
304,30,40,4.0,0.0,1,0,1,2,BreakPoint
310,30,40,4.0,1.0,1,0,2,1,BreakPoint
316,40,30,5.0,1.0,1,0,1,2,MatchPoint
320,40,0,0.0,0.0,0,0,1,2,GamePoint
326,30,40,1.0,0.0,0,0,2,1,BreakPoint
328,50,40,1.0,0.0,0,0,2,1,GamePoint
333,40,15,1.0,1.0,0,0,1,2,GamePoint
339,30,40,2.0,1.0,0,0,2,1,BreakPoint
341,40,50,2.0,1.0,0,0,2,1,BreakPoint
343,40,50,2.0,1.0,0,0,2,1,BreakPoint
347,40,0,3.0,1.0,0,0,1,2,GamePoint
348,40,15,3.0,1.0,0,0,1,2,GamePoint
352,0,40,4.0,1.0,0,0,2,1,BreakPoint
358,30,40,5.0,1.0,0,0,1,2,SetPoint
360,50,40,5.0,1.0,0,0,1,2,SetPoint
362,50,40,5.0,1.0,0,0,1,2,SetPoint
366,40,0,0.0,0.0,1,0,2,1,GamePoint
367,40,15,0.0,0.0,1,0,2,1,GamePoint
368,40,30,0.0,0.0,1,0,2,1,GamePoint
370,40,50,0.0,0.0,1,0,2,1,BreakPoint
375,40,15,1.0,0.0,1,0,1,2,GamePoint
376,40,30,1.0,0.0,1,0,1,2,GamePoint
378,50,40,1.0,0.0,1,0,1,2,GamePoint
380,50,40,1.0,0.0,1,0,1,2,GamePoint
382,40,50,1.0,0.0,1,0,1,2,BreakPoint
384,40,50,1.0,0.0,1,0,1,2,BreakPoint
386,50,40,1.0,0.0,1,0,1,2,GamePoint
388,40,50,1.0,0.0,1,0,1,2,BreakPoint
390,50,40,1.0,0.0,1,0,1,2,GamePoint
392,40,50,1.0,0.0,1,0,1,2,BreakPoint
397,40,15,1.0,1.0,1,0,2,1,GamePoint
402,15,40,1.0,2.0,1,0,1,2,BreakPoint
403,30,40,1.0,2.0,1,0,1,2,BreakPoint
409,30,40,1.0,3.0,1,0,2,1,BreakPoint
411,50,40,1.0,3.0,1,0,2,1,GamePoint
416,40,15,1.0,4.0,1,0,1,2,GamePoint
422,40,30,2.0,4.0,1,0,2,1,GamePoint
424,40,50,2.0,4.0,1,0,2,1,BreakPoint
426,40,50,2.0,4.0,1,0,2,1,BreakPoint
431,40,15,3.0,4.0,1,0,1,2,GamePoint
437,40,30,4.0,4.0,1,0,2,1,GamePoint
439,50,40,4.0,4.0,1,0,2,1,GamePoint
441,50,40,4.0,4.0,1,0,2,1,GamePoint
443,50,40,4.0,4.0,1,0,2,1,GamePoint
445,50,40,4.0,4.0,1,0,2,1,GamePoint
450,40,15,4.0,5.0,1,0,1,2,GamePoint
456,40,30,5.0,5.0,1,0,2,1,GamePoint
458,50,40,5.0,5.0,1,0,2,1,GamePoint
460,50,40,5.0,5.0,1,0,2,1,GamePoint
466,30,40,5.0,6.0,1,0,1,2,BreakPoint
472,40,30,0.0,0.0,1,1,2,1,GamePoint
476,40,0,0.0,1.0,1,1,1,2,GamePoint
477,40,15,0.0,1.0,1,1,1,2,GamePoint
481,40,0,1.0,1.0,1,1,2,1,GamePoint
487,40,30,1.0,2.0,1,1,1,2,GamePoint
489,50,40,1.0,2.0,1,1,1,2,GamePoint
495,30,40,2.0,2.0,1,1,2,1,BreakPoint
497,50,40,2.0,2.0,1,1,2,1,GamePoint
499,50,40,2.0,2.0,1,1,2,1,GamePoint
501,40,50,2.0,2.0,1,1,2,1,BreakPoint
507,40,30,3.0,2.0,1,1,1,2,GamePoint
512,40,15,4.0,2.0,1,1,2,1,GamePoint
517,40,15,4.0,3.0,1,1,1,2,GamePoint
521,40,0,5.0,3.0,1,1,2,1,MatchPoint
527,30,40,5.0,4.0,1,1,1,2,MatchPoint
529,40,50,5.0,4.0,1,1,1,2,MatchPoint
531,50,40,5.0,4.0,1,1,1,2,MatchPoint
533,40,50,5.0,4.0,1,1,1,2,MatchPoint
535,50,40,5.0,4.0,1,1,1,2,MatchPoint
540,40,15,0.0,0.0,0,0,1,2,GamePoint
545,40,15,1.0,0.0,0,0,2,1,GamePoint
549,40,0,1.0,1.0,0,0,1,2,GamePoint
554,40,15,2.0,1.0,0,0,2,1,GamePoint
558,40,0,2.0,2.0,0,0,1,2,GamePoint
563,40,15,3.0,2.0,0,0,2,1,GamePoint
564,40,30,3.0,2.0,0,0,2,1,GamePoint
570,40,30,3.0,3.0,0,0,1,2,GamePoint
576,40,30,4.0,3.0,0,0,2,1,GamePoint
578,50,40,4.0,3.0,0,0,2,1,GamePoint
582,40,0,4.0,4.0,0,0,1,2,GamePoint
587,40,15,5.0,4.0,0,0,2,1,SetPoint
592,40,15,5.0,5.0,0,0,1,2,GamePoint
593,40,30,5.0,5.0,0,0,1,2,GamePoint
598,40,15,6.0,5.0,0,0,2,1,SetPoint
599,40,30,6.0,5.0,0,0,2,1,SetPoint
601,50,40,6.0,5.0,0,0,2,1,SetPoint
603,50,40,6.0,5.0,0,0,2,1,SetPoint
605,50,40,6.0,5.0,0,0,2,1,SetPoint
607,50,40,6.0,5.0,0,0,2,1,SetPoint
609,40,50,6.0,5.0,0,0,2,1,SetPoint
615,40,30,0.0,0.0,1,0,1,2,GamePoint
621,40,30,1.0,0.0,1,0,2,1,GamePoint
625,40,0,1.0,1.0,1,0,1,2,GamePoint
629,40,0,2.0,1.0,1,0,2,1,GamePoint
630,40,15,2.0,1.0,1,0,2,1,GamePoint
636,40,30,2.0,2.0,1,0,1,2,GamePoint
641,40,15,3.0,2.0,1,0,2,1,GamePoint
647,40,30,3.0,3.0,1,0,1,2,GamePoint
652,40,15,4.0,3.0,1,0,2,1,GamePoint
658,40,30,4.0,4.0,1,0,1,2,GamePoint
662,40,0,5.0,4.0,1,0,2,1,MatchPoint
667,40,15,5.0,5.0,1,0,1,2,GamePoint
668,40,30,5.0,5.0,1,0,1,2,GamePoint
673,40,15,6.0,5.0,1,0,2,1,MatchPoint
680,0,6,6.0,6.0,1,0,2,1,MatchPoint
681,1,6,6.0,6.0,1,0,1,2,MatchPoint
685,0,40,0.0,0.0,0,0,1,2,BreakPoint
686,15,40,0.0,0.0,0,0,1,2,BreakPoint
687,30,40,0.0,0.0,0,0,1,2,BreakPoint
689,50,40,0.0,0.0,0,0,1,2,GamePoint
694,40,15,1.0,0.0,0,0,2,1,GamePoint
700,40,30,1.0,1.0,0,0,1,2,GamePoint
705,15,40,2.0,1.0,0,0,2,1,BreakPoint
710,40,15,3.0,1.0,0,0,1,2,GamePoint
714,40,0,4.0,1.0,0,0,2,1,GamePoint
715,40,15,4.0,1.0,0,0,2,1,GamePoint
720,40,15,4.0,2.0,0,0,1,2,GamePoint
724,40,0,5.0,2.0,0,0,2,1,SetPoint
728,40,0,5.0,3.0,0,0,1,2,SetPoint
732,40,0,0.0,0.0,1,0,2,1,GamePoint
738,40,30,0.0,1.0,1,0,1,2,GamePoint
743,40,15,1.0,1.0,1,0,2,1,GamePoint
744,40,30,1.0,1.0,1,0,2,1,GamePoint
749,15,40,1.0,2.0,1,0,1,2,BreakPoint
750,30,40,1.0,2.0,1,0,1,2,BreakPoint
752,50,40,1.0,2.0,1,0,1,2,GamePoint
758,40,30,2.0,2.0,1,0,2,1,GamePoint
763,40,15,2.0,3.0,1,0,1,2,GamePoint
767,40,0,3.0,3.0,1,0,2,1,GamePoint
771,40,0,3.0,4.0,1,0,1,2,GamePoint
775,40,0,4.0,4.0,1,0,2,1,GamePoint
779,40,0,4.0,5.0,1,0,1,2,GamePoint
780,40,15,4.0,5.0,1,0,1,2,GamePoint
785,40,15,5.0,5.0,1,0,2,1,GamePoint
791,30,40,5.0,6.0,1,0,1,2,BreakPoint
795,40,0,0.0,0.0,1,1,2,1,GamePoint
800,15,40,0.0,1.0,1,1,1,2,BreakPoint
801,30,40,0.0,1.0,1,1,1,2,BreakPoint
803,40,50,0.0,1.0,1,1,1,2,BreakPoint
809,40,30,0.0,2.0,1,1,2,1,GamePoint
815,30,40,0.0,3.0,1,1,1,2,BreakPoint
817,40,50,0.0,3.0,1,1,1,2,BreakPoint
819,50,40,0.0,3.0,1,1,1,2,GamePoint
821,50,40,0.0,3.0,1,1,1,2,GamePoint
827,40,30,1.0,3.0,1,1,2,1,GamePoint
833,40,30,1.0,4.0,1,1,1,2,GamePoint
837,40,0,2.0,4.0,1,1,2,1,GamePoint
842,40,15,2.0,5.0,1,1,1,2,GamePoint
848,40,30,3.0,5.0,1,1,2,1,GamePoint
852,40,0,0.0,0.0,0,0,1,2,GamePoint
853,40,15,0.0,0.0,0,0,1,2,GamePoint
858,15,40,1.0,0.0,0,0,2,1,BreakPoint
863,40,15,2.0,0.0,0,0,1,2,GamePoint
869,40,30,3.0,0.0,0,0,2,1,GamePoint
873,40,0,3.0,1.0,0,0,1,2,GamePoint
879,40,30,4.0,1.0,0,0,2,1,GamePoint
881,40,50,4.0,1.0,0,0,2,1,BreakPoint
883,50,40,4.0,1.0,0,0,2,1,GamePoint
887,40,0,4.0,2.0,0,0,1,2,GamePoint
892,40,15,5.0,2.0,0,0,2,1,SetPoint
897,40,15,5.0,3.0,0,0,1,2,SetPoint
902,15,40,0.0,0.0,1,0,2,1,BreakPoint
906,40,0,1.0,0.0,1,0,1,2,GamePoint
912,40,30,2.0,0.0,1,0,2,1,GamePoint
918,40,30,2.0,1.0,1,0,1,2,GamePoint
920,50,40,2.0,1.0,1,0,1,2,GamePoint
922,50,40,2.0,1.0,1,0,1,2,GamePoint
927,15,40,3.0,1.0,1,0,2,1,BreakPoint
933,40,30,4.0,1.0,1,0,1,2,GamePoint
939,30,40,5.0,1.0,1,0,2,1,MatchPoint
941,40,50,5.0,1.0,1,0,2,1,MatchPoint
945,40,0,0.0,0.0,0,0,1,2,GamePoint
951,40,30,1.0,0.0,0,0,2,1,GamePoint
953,50,40,1.0,0.0,0,0,2,1,GamePoint
955,50,40,1.0,0.0,0,0,2,1,GamePoint
957,50,40,1.0,0.0,0,0,2,1,GamePoint
959,40,50,1.0,0.0,0,0,2,1,BreakPoint
963,40,0,2.0,0.0,0,0,1,2,GamePoint
964,40,15,2.0,0.0,0,0,1,2,GamePoint
968,40,0,3.0,0.0,0,0,2,1,GamePoint
973,15,40,3.0,1.0,0,0,1,2,BreakPoint
974,30,40,3.0,1.0,0,0,1,2,BreakPoint
979,40,15,3.0,2.0,0,0,2,1,GamePoint
980,40,30,3.0,2.0,0,0,2,1,GamePoint
984,40,0,3.0,3.0,0,0,1,2,GamePoint
988,40,0,4.0,3.0,0,0,2,1,GamePoint
993,40,15,4.0,4.0,0,0,1,2,GamePoint
998,40,15,5.0,4.0,0,0,2,1,SetPoint
999,40,30,5.0,4.0,0,0,2,1,SetPoint
