,Player,HowPoint,IsCrucialPoint,winorsave,PointType,count,avg_rally_count,WonLost
4,Novak_Djokovic,Unforced,False,N/A,N/A,5820,6.010996563573883,Won
5,Novak_Djokovic,Forced,False,N/A,N/A,5815,4.143766122098023,Won
7,Novak_Djokovic,RallyWinner,False,N/A,N/A,3828,6.776384535005224,Won
36,Novak_Djokovic,Forced,True,Win,GamePoint,1108,2.5541516245487363,Won
43,Novak_Djokovic,Ace,False,N/A,N/A,987,1.0010131712259371,Won
85,Novak_Djokovic,Unforced,True,Win,GamePoint,623,4.775280898876405,Won
97,Novak_Djokovic,RallyWinner,True,Win,GamePoint,584,5.613013698630137,Won
107,Novak_Djokovic,Unforced,True,Save,GamePoint,553,5.027124773960217,Won
133,Novak_Djokovic,Unforced,True,Win,BreakPoint,492,6.662601626016261,Won
146,Novak_Djokovic,Double,False,N/A,N/A,461,0.0,Won
165,Novak_Djokovic,RallyWinner,True,Save,GamePoint,411,6.447688564476886,Won
167,Novak_Djokovic,Forced,True,Save,GamePoint,409,5.334963325183374,Won
185,Novak_Djokovic,Forced,True,Save,BreakPoint,379,4.092348284960422,Won
242,Novak_Djokovic,Ace,True,Win,GamePoint,299,1.0,Won
257,Novak_Djokovic,Unforced,True,Save,BreakPoint,285,7.098245614035088,Won
363,Novak_Djokovic,RallyWinner,True,Save,BreakPoint,196,6.744897959183674,Won
420,Novak_Djokovic,Forced,True,Win,BreakPoint,171,7.964912280701754,Won
437,Novak_Djokovic,Unret,False,N/A,N/A,166,0.9939759036144579,Won
577,Novak_Djokovic,Double,True,Save,GamePoint,122,0.0,Won
578,Novak_Djokovic,RallyWinner,True,Win,BreakPoint,122,9.836065573770492,Won
612,Novak_Djokovic,Other,False,N/A,N/A,111,1.2162162162162162,Won
667,Novak_Djokovic,Unforced,True,Win,SetPoint,103,5.689320388349515,Won
679,Novak_Djokovic,Forced,True,Win,SetPoint,101,2.98019801980198,Won
912,Novak_Djokovic,Forced,True,Save,SetPoint,70,4.085714285714285,Won
988,Novak_Djokovic,Forced,True,Win,MatchPoint,64,3.5,Won
1036,Novak_Djokovic,Double,True,Win,BreakPoint,61,0.0,Won
1049,Novak_Djokovic,Unforced,True,Win,MatchPoint,60,5.816666666666666,Won
1103,Novak_Djokovic,Ace,True,Save,BreakPoint,57,1.0,Won
1222,Novak_Djokovic,Unforced,True,Save,SetPoint,50,5.58,Won
1244,Novak_Djokovic,RallyWinner,True,Win,SetPoint,49,5.877551020408164,Won
1258,Novak_Djokovic,RallyWinner,True,Save,SetPoint,49,6.73469387755102,Won
1303,Novak_Djokovic,RallyWinner,True,Win,MatchPoint,46,6.673913043478261,Won
1651,Novak_Djokovic,RallyWinner,True,Save,MatchPoint,34,6.676470588235294,Won
1782,Novak_Djokovic,Unret,True,Win,GamePoint,31,1.0,Won
2245,Novak_Djokovic,Ace,True,Win,SetPoint,23,1.0,Won
2569,Novak_Djokovic,Unforced,True,Save,MatchPoint,19,4.421052631578948,Won
2754,Novak_Djokovic,Forced,True,Save,MatchPoint,17,4.235294117647059,Won
2885,Novak_Djokovic,Other,True,Win,GamePoint,16,1.0,Won
3196,Novak_Djokovic,Ace,True,Win,MatchPoint,14,1.0,Won
3207,Novak_Djokovic,Unret,True,Save,BreakPoint,13,1.0,Won
4392,Novak_Djokovic,Ace,True,Save,SetPoint,8,1.0,Won
4583,Novak_Djokovic,Double,True,Win,SetPoint,7,0.0,Won
5822,Novak_Djokovic,Other,True,Win,BreakPoint,5,4.2,Won
6459,Novak_Djokovic,Unret,True,Save,SetPoint,4,1.0,Won
7629,Novak_Djokovic,Double,True,Save,SetPoint,3,0.0,Won
7658,Novak_Djokovic,Double,True,Win,MatchPoint,3,0.0,Won
7669,Novak_Djokovic,Other,True,Save,GamePoint,3,2.0,Won
8775,Novak_Djokovic,Ace,True,Save,MatchPoint,2,1.0,Won
11954,Novak_Djokovic,Other,True,Save,BreakPoint,1,1.0,Won
12011,Novak_Djokovic,Other,True,Save,SetPoint,1,1.0,Won
12063,Novak_Djokovic,Unret,True,Win,SetPoint,1,1.0,Won
12066,Novak_Djokovic,Other,True,Win,SetPoint,1,1.0,Won
12068,Novak_Djokovic,Other,True,Win,MatchPoint,1,10.0,Won
2,Novak_Djokovic,Unforced,False,N/A,N/A,5136,5.889018691588785,Lost
3,Novak_Djokovic,Forced,False,N/A,N/A,4980,3.6763052208835343,Lost
8,Novak_Djokovic,RallyWinner,False,N/A,N/A,3659,6.973216725881389,Lost
41,Novak_Djokovic,Ace,False,N/A,N/A,1024,1.0,Lost
49,Novak_Djokovic,Forced,True,Save,GamePoint,952,2.2478991596638656,Lost
94,Novak_Djokovic,Unforced,True,Save,GamePoint,607,4.752883031301483,Lost
95,Novak_Djokovic,Unforced,True,Win,GamePoint,596,4.714765100671141,Lost
152,Novak_Djokovic,Forced,True,Win,BreakPoint,450,3.16,Lost
163,Novak_Djokovic,Double,False,N/A,N/A,425,0.0,Lost
165,Novak_Djokovic,RallyWinner,True,Save,GamePoint,410,5.814634146341463,Lost
192,Novak_Djokovic,Ace,True,Save,GamePoint,356,1.0,Lost
200,Novak_Djokovic,RallyWinner,True,Win,GamePoint,343,7.119533527696793,Lost
247,Novak_Djokovic,Forced,True,Win,GamePoint,298,5.348993288590604,Lost
250,Novak_Djokovic,Unforced,True,Save,BreakPoint,296,7.02027027027027,Lost
280,Novak_Djokovic,RallyWinner,True,Win,BreakPoint,261,7.360153256704981,Lost
281,Novak_Djokovic,Unforced,True,Win,BreakPoint,261,7.222222222222222,Lost
440,Novak_Djokovic,Unret,False,N/A,N/A,162,1.0,Lost
525,Novak_Djokovic,RallyWinner,True,Save,BreakPoint,139,8.805755395683454,Lost
659,Novak_Djokovic,Double,True,Win,GamePoint,107,0.0,Lost
669,Novak_Djokovic,Ace,True,Win,BreakPoint,105,1.0,Lost
719,Novak_Djokovic,Other,False,N/A,N/A,97,1.288659793814433,Lost
722,Novak_Djokovic,Forced,True,Save,BreakPoint,96,7.583333333333333,Lost
787,Novak_Djokovic,Forced,True,Win,SetPoint,88,3.4431818181818183,Lost
915,Novak_Djokovic,Unforced,True,Win,SetPoint,75,5.76,Lost
951,Novak_Djokovic,Forced,True,Save,SetPoint,71,2.1690140845070425,Lost
996,Novak_Djokovic,RallyWinner,True,Win,SetPoint,67,6.6716417910447765,Lost
1278,Novak_Djokovic,Unforced,True,Save,SetPoint,49,6.061224489795919,Lost
1336,Novak_Djokovic,RallyWinner,True,Save,SetPoint,46,5.586956521739131,Lost
1375,Novak_Djokovic,Forced,True,Win,MatchPoint,44,3.6818181818181817,Lost
1409,Novak_Djokovic,Double,True,Save,BreakPoint,43,0.0,Lost
1505,Novak_Djokovic,Unret,True,Save,GamePoint,39,1.0,Lost
1516,Novak_Djokovic,RallyWinner,True,Win,MatchPoint,39,7.384615384615385,Lost
1597,Novak_Djokovic,Unforced,True,Win,MatchPoint,37,5.864864864864865,Lost
1844,Novak_Djokovic,Unforced,True,Save,MatchPoint,31,4.709677419354839,Lost
2467,Novak_Djokovic,Forced,True,Save,MatchPoint,21,3.0,Lost
2586,Novak_Djokovic,RallyWinner,True,Save,MatchPoint,20,5.25,Lost
2960,Novak_Djokovic,Unret,True,Win,BreakPoint,16,1.0,Lost
3088,Novak_Djokovic,Ace,True,Save,SetPoint,15,1.0,Lost
3306,Novak_Djokovic,Other,True,Save,GamePoint,14,1.0,Lost
3985,Novak_Djokovic,Ace,True,Win,SetPoint,10,1.0,Lost
5039,Novak_Djokovic,Ace,True,Win,MatchPoint,7,1.0,Lost
5061,Novak_Djokovic,Double,True,Win,SetPoint,7,0.0,Lost
5300,Novak_Djokovic,Double,True,Win,MatchPoint,6,0.0,Lost
6100,Novak_Djokovic,Other,True,Win,BreakPoint,5,1.0,Lost
6122,Novak_Djokovic,Unret,True,Win,SetPoint,5,1.0,Lost
6308,Novak_Djokovic,Other,True,Win,GamePoint,4,6.0,Lost
6580,Novak_Djokovic,Ace,True,Save,MatchPoint,4,1.0,Lost
8124,Novak_Djokovic,Other,True,Save,BreakPoint,3,2.0,Lost
8133,Novak_Djokovic,Double,True,Save,SetPoint,3,0.0,Lost
8134,Novak_Djokovic,Double,True,Save,MatchPoint,3,0.0,Lost
11557,Novak_Djokovic,Unret,True,Win,MatchPoint,1,1.0,Lost
11564,Novak_Djokovic,Unret,True,Save,SetPoint,1,1.0,Lost
